name,group,first_side,tags,unit,main_loops,candidate_loops,loop_matched,main_mean_seconds,candidate_mean_seconds,candidate_over_main,time_change_percent,speedup,pyperf_significant,pyperf_t_score,main_stdev_percent,candidate_stdev_percent
bench_thread_pool,A,main,,second,256,256,True,0.000645799941776204,0.000644137129165756,0.9974251892840459,-0.2574810715954112,1.0025814574803373,False,1.004642543658646,1.5159571071338591,1.2850989137015305
bpe_tokeniser,A,main,,second,1,1,True,3.0072029717111337,2.4097246473655103,0.8013175931368373,-19.868240686316273,1.247944645874304,True,113.93270888154511,0.2523069248058229,1.656039268983999
chameleon,B,candidate,apps,second,16,16,True,0.009288695049084103,0.008772003782602648,0.9443741813299811,-5.562581867001892,1.0589023077607649,True,66.60300989065041,0.3324682895475071,0.5876526056886018
chaos,A,main,,second,4,4,True,0.03330572398457055,0.030388157772055516,0.9124004566342215,-8.759954336577847,1.0960099731744182,True,7.9854332988806815,0.16816969355282416,9.311259213445888
comprehensions,B,candidate,,second,16384,16384,True,9.776305484858009e-06,9.18177357126145e-06,0.9391864427193486,-6.081355728065141,1.0647513150898664,True,80.68566158814397,0.4527781808016054,0.39242812059969423
connected_components,B,candidate,,second,1,1,True,0.3071847674126426,0.3120886196537564,1.015963852252239,1.5963852252238953,0.984286987950556,True,-26.514366379209072,0.25069747712655066,0.3870804411206582
coroutines,B,candidate,asyncio,second,8,8,True,0.013538043680212771,0.013504612954178204,0.997530608792212,-0.24693912077879965,1.0024755041960847,True,2.309635449851383,0.2849430105573537,0.7795374927092708
coverage,A,main,,second,2,2,True,0.07254157506395131,0.07191694336943329,0.9913893282029325,-0.8610671797067537,1.0086854594376922,True,2.764065078747808,2.353132479672491,0.5389876097933206
create_gc_cycles,A,main,,second,64,64,True,0.0017308569879484518,0.0017302966004839012,0.9996762369921649,-0.03237630078350984,1.000323867864269,False,0.09241315461654054,2.3427374719196163,1.3701127933322017
crypto_pyaes,B,candidate,,second,4,4,True,0.04608586522129675,0.045572962945637605,0.9888707248264458,-1.112927517355422,1.0112545299341402,True,6.172030896824891,1.1165801793280186,0.8485630377667701
deepcopy,B,candidate,,second,1024,1024,True,0.0001576796721262023,0.00015398294038580692,0.9765554323487138,-2.344456765128622,1.0240074110231507,True,4.315197056586769,3.149103647911555,2.8587590674896837
deepcopy_memo,B,candidate,,second,1024,8192,False,1.264485037305955e-05,1.2554517943878334e-05,0.9928561883679008,-0.7143811632099206,1.0071952128775492,True,2.866566378978117,1.151644407308396,1.5603713082683912
deepcopy_reduce,B,candidate,,second,1024,65536,False,1.8565822150170183e-06,1.7552796019041731e-06,0.9454359670724753,-5.456403292752466,1.057713091978594,True,10.674602491872335,3.6715804367034357,1.5675641531987556
deltablue,A,main,,second,64,64,True,0.0017166161017181973,0.001624241082269388,0.946187724001686,-5.381227599831395,1.0568727268736136,True,19.488268897266867,1.5300570545445906,1.5795479135448647
django_template,B,candidate,template,second,8,8,True,0.02394995431532152,0.02195976861209298,0.9169023173478307,-8.309768265216933,1.0906287191993713,True,40.71661537227646,1.200802811057309,1.1213788630269643
docutils,A,main,apps,second,1,1,True,1.6865211334079504,1.682246260313938,0.997465271552587,-0.25347284474129816,1.0025411696223445,False,1.4671463585638431,1.1401836843055426,0.7023974773588901
dulwich_log,B,candidate,,second,4,4,True,0.026014383789151906,0.025818006178208938,0.9924511911358493,-0.7548808864150658,1.0076062268165662,False,1.267135447467626,3.208721419833352,3.341599797551395
fannkuch,A,main,,second,1,1,True,0.21135839216100674,0.21277532173941532,1.0067039191769078,0.6703919176907824,0.993340724070699,True,-16.093375209898518,0.2675567005019084,0.17915610535146745
float,B,candidate,math,second,4,4,True,0.03821606976368154,0.03647597725503147,0.9544669946593053,-4.553300534069471,1.0477051648673799,True,4.13991214647676,6.808100403962148,5.365902492507139
gc_traversal,B,candidate,,second,32,32,True,0.0035669734298911255,0.003393087580722446,0.9512511509865699,-4.8748849013430124,1.051247085444124,True,15.90373182693206,1.5939996274580435,1.8498976000495757
generators,A,main,,second,8,8,True,0.01846257706056349,0.01856705413859648,1.005658856707288,0.565885670728794,0.9943729857599861,True,-5.378686188550378,0.6278891342566112,0.5165861210248414
go,A,main,,second,2,2,True,0.06328161906761427,0.04920562964398414,0.7775659088527679,-22.24340911472321,1.286064613449186,True,137.03603269574117,1.0197138460688517,0.9459447675509391
hexiom,B,candidate,,second,64,64,True,0.00340764001084608,0.0019742286259618897,0.5793536346791838,-42.06463653208162,1.7260614936052805,True,224.37992521064427,1.3801013437217062,0.7796632657816058
html5lib,A,main,apps,second,4,4,True,0.034884937674117586,0.03153218637065341,0.9038911482432801,-9.61088517567199,1.1063279045751342,True,4.620926145612199,11.657281708720602,12.302503067816538
json_dumps,B,candidate,serialize,second,16,16,True,0.006145351652715666,0.006222027312226904,1.0124770174018203,1.2477017401820278,0.9876767401260739,True,-13.918615333495495,0.4213775838604633,0.545094981773133
json_loads,A,main,serialize,second,10240,10240,True,1.5111582085107026e-05,1.4755610915623645e-05,0.9764438185572771,-2.3556181442722868,1.0241244616382823,True,18.822409440686922,0.7316926840863872,0.6512433637202829
