PHASE imports
COMPILE calls=0 ok=0 ns=0
PROFILE method=1 op=_PUSH_TAGGED_ZERO count=200568
PROFILE method=1 op=_RETURN_VALUE count=1720433
PROFILE method=1 op=_SAVE_RETURN_OFFSET count=174364
PROFILE method=1 op=_SPILL_OR_RELOAD count=20798581
PROFILE method=1 op=_START_EXECUTOR count=2551561
PROFILE method=1 op=_STORE_ATTR_INSTANCE_VALUE count=745100
PROFILE method=1 op=_STORE_SUBSCR_LIST_INT count=552569
PROFILE method=1 op=_SWAP_2 count=665554
PROFILE method=1 op=_SWAP_FAST_1 count=15530
PROFILE method=1 op=_SWAP_FAST_2 count=1771105
PROFILE method=1 op=_SWAP_FAST_3 count=78292
PROFILE method=1 op=_TIER2_RESUME_CHECK count=2954553
PROFILE method=1 op=_TO_BOOL_INT count=15530
COMPILE calls=29 ok=12 ns=765078
PHASE steady 5
PROFILE method=0 op=_POP_ITER count=257112
PROFILE method=0 op=_POP_TOP count=5951142
PROFILE method=0 op=_PUSH_NULL count=222123
PROFILE method=0 op=_UNARY_NOT count=157295
PROFILE method=0 op=_LIST_APPEND count=80972
PROFILE method=0 op=_STORE_GLOBAL count=39
PROFILE method=0 op=_TO_BOOL_BOOL count=649726
PROFILE method=0 op=_TO_BOOL_NONE count=61865
PROFILE method=0 op=_EXIT_TRACE count=2237781
PROFILE method=0 op=_SET_IP count=13710500
PROFILE method=0 op=_BINARY_OP count=98724
PROFILE method=0 op=_BINARY_OP_ADD_FLOAT count=65371
PROFILE method=0 op=_BINARY_OP_ADD_INT count=427623
PROFILE method=0 op=_BINARY_OP_ADD_INT_INPLACE count=1158
PROFILE method=0 op=_BINARY_OP_EXTEND count=166720
PROFILE method=0 op=_BINARY_OP_MULTIPLY_INT count=66529
PROFILE method=0 op=_BINARY_OP_SUBSCR_LIST_INT count=148681
PROFILE method=0 op=_BINARY_OP_SUBTRACT_INT count=520479
PROFILE method=0 op=_CALL_BUILTIN_CLASS count=65385
PROFILE method=0 op=_CALL_BUILTIN_FAST count=65371
PROFILE method=0 op=_CALL_BUILTIN_O count=65943
PROFILE method=0 op=_CALL_LEN count=23680
PROFILE method=0 op=_CALL_LIST_APPEND count=2110
PROFILE method=0 op=_CALL_METHOD_DESCRIPTOR_FAST_INLINE count=8
PROFILE method=0 op=_CALL_METHOD_DESCRIPTOR_NOARGS_INLINE count=572
PROFILE method=0 op=_CALL_METHOD_DESCRIPTOR_O_INLINE count=580
PROFILE method=0 op=_CALL_NON_PY_GENERAL count=14
PROFILE method=0 op=_CHECK_FUNCTION_EXACT_ARGS count=2280
PROFILE method=0 op=_CHECK_FUNCTION_VERSION count=1445948
PROFILE method=0 op=_CHECK_FUNCTION_VERSION_INLINE count=572
PROFILE method=0 op=_CHECK_FUNCTION_VERSION_KW count=150600
